method_label,classifier,accuracy_mean,accuracy_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,auc_mean,auc_std,reduction_rate_mean,reduction_rate_std,runtime_selection_mean,runtime_selection_std,runtime_training_mean,runtime_training_std
QUBO-SA (K=20),rf,0.7423076923076923,0.14372418157073924,0.5220634920634921,0.27979336758799933,0.7266666666666667,0.3003701420285016,0.45999999999999996,0.34168699126539775,0.82,0.16923541296076303,0.9903000000000001,0.0002738612787526475,6.837493050000194,0.20502055724111434,0.8107966695999493,0.054326636534464505
QUBO-SA (K=20),svm,0.7615384615384615,0.11779881778997325,0.5644444444444444,0.3339254001113215,0.6,0.37416573867739417,0.5700000000000001,0.370135110466435,0.8949999999999999,0.10062305898749051,0.9903000000000001,0.0002738612787526475,6.837493050000194,0.20502055724111434,0.06365447120042518,0.037308734156324144
QUBO-SA (K=20),xgboost,0.7269230769230769,0.13358888232410981,0.518095238095238,0.23114076209583279,0.74,0.2792848008753788,0.47000000000000003,0.31937438845342625,0.74,0.20979901096049047,0.9903000000000001,0.0002738612787526475,6.837493050000194,0.20502055724111434,0.33084601639930045,0.16828232759574713
QUBO-SA (K=50),catboost,0.7884615384615385,0.0959399329942037,0.6420634920634921,0.20825584348749213,0.7333333333333333,0.18066236157232332,0.58,0.21965882636488795,0.8225,0.10208758494547705,0.9756,0.00022360679774996675,7.099970656599908,0.13605844549204005,1.2432079858001088,0.1848286061593863
QUBO-SA (K=50),knn,0.5948717948717949,0.10835040071897832,0.3088888888888889,0.2874322249689782,0.3,0.282842712474619,0.32,0.2949576240750525,0.6625,0.14772030687248114,0.9756,0.00022360679774996675,7.099970656599908,0.13605844549204005,0.18287511500020628,0.016875400952305185
QUBO-SA (K=50),opf,0.6602564102564102,0.04487179487179486,0.5488888888888889,0.07269078770576055,0.5333333333333333,0.10274023338281629,0.6,0.1541103500742244,0.6825,0.0836660026534076,0.9756,0.00022360679774996675,7.099970656599908,0.13605844549204005,0.03399982880073367,0.027303582235752893
QUBO-SA (K=50),rf,0.7564102564102564,0.1050382667190637,0.5476190476190477,0.3148578846532903,0.6333333333333333,0.375462677535627,0.49000000000000005,0.28809720581775866,0.8168749999999999,0.12061852314217748,0.9756,0.00022360679774996675,7.099970656599908,0.13605844549204005,0.7990728463992127,0.04384377181817561
QUBO-SA (K=50),svm,0.7551282051282051,0.08978936561483658,0.52,0.3476907949441413,0.54,0.3286335345030997,0.52,0.3718198488515642,0.76125,0.12409044080830718,0.9756,0.00022360679774996675,7.099970656599908,0.13605844549204005,0.04114320720036631,0.0014095466815378357
QUBO-SA (K=50),xgboost,0.7730769230769231,0.10548719195243189,0.6087301587301587,0.21650816924997962,0.7166666666666666,0.18257418583505536,0.54,0.23291629397704236,0.77,0.18995270793015825,0.9756,0.00022360679774996675,7.099970656599908,0.13605844549204005,0.267018989999633,0.034413647396585166
QUBO-SB (K=10),catboost,0.7448717948717949,0.12132161765836545,0.4876190476190477,0.30907660000589143,0.7333333333333333,0.4346134936801766,0.43,0.37013511046643494,0.805,0.20546251178743044,0.9967,0.0023345235059857713,10.327291166198847,3.180063944907206,0.18323534179944545,0.0770968109036452
